,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.056234132519034905), 'l1_ratio': 0.5}","{'C': np.float64(0.056234132519034905), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
artificial.28,0.0,0.0,0.0001331640008866827,0.0,0.006245601968070326,0.001710568220360181,0.014020993531069717,0.006931225939037615,0.05488395536285242,0.027327194402695744
artificial.29,0.0,0.0,0.000819199717143342,0.0,0.017093487124810028,0.005486340980509202,0.03345722748557193,0.019476350067906288,0.08303851939892372,0.05023938825162062
artificial.30,0.0,0.0,0.0,0.0,0.004607469874319147,0.0003350513856010359,0.012618653289180392,0.005883575567008039,0.04551242827800255,0.023800011258432258
artificial.31,0.0,0.0,0.0,0.0,0.006607161562935103,0.001063947458522526,0.018314480611073575,0.008604805048022154,0.06583100612500416,0.03436440912550314
artificial.32,0.0,0.0,0.0019664493789270875,0.0,0.007562652284889831,0.004716403970491093,0.016212889458318783,0.008100269580754028,0.0697704274683254,0.034017183696125566
artificial.33,0.0,0.0,0.0,0.0,0.00657817506861088,0.0027739314536164043,0.017188362372945267,0.007848152940520698,0.06392347448409531,0.034347928742460156
artificial.34,0.0,0.0,0.0,0.0,0.005855990380731164,0.0021969331470517084,0.010689494183269572,0.00662825127731805,0.049846987281578714,0.021233007436813833
artificial.35,0.0,0.0,0.0,0.0,0.002712009713849179,0.0017607230538420923,0.010275716962312982,0.003724224456992595,0.050625429448075715,0.024127415715974106
artificial.36,0.0,0.0,0.00010938042470679823,0.0,0.015123907985111991,0.006740068175566628,0.029668665766257263,0.017681165644794203,0.08379560340953558,0.05045118643555033
artificial.37,0.0,0.0,0.007006867086472975,0.0,0.038688123206358234,0.019561261922359626,0.07496789606745118,0.044975766309183,0.169913980947945,0.11504022977159963
artificial.38,0.0,0.0,0.0004885224939466209,0.0,0.02256791652786475,0.010489488636058678,0.04331411843040819,0.027251076710703055,0.09882633858199191,0.062314676261809365
artificial.39,0.0,0.0,0.0019406850343474335,0.0,0.03527747518125896,0.016947674146253616,0.07490686575494959,0.043377375321603455,0.16655754781364643,0.11421444836024865
artificial.40,0.0,0.0,0.0025995021946005714,0.0,0.02730403025784637,0.01468334539999295,0.05635378292324567,0.032796520664239916,0.14142617520284198,0.09117014502904883
