,Fold selected features,Fold nb of features
Fold 73,"['CCL20', 'CD1C', 'CRTAC1', 'CTSF', 'DPEP2', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'SMOC2', 'TMPRSS5', 'WIF1']",13
Fold 74,"['CRTAC1', 'HLA-DRA', 'MDGA1']",3
Fold 75,"['CCL20', 'CDHR1', 'CRTAC1', 'CTSF', 'FCRLB', 'FOSB', 'HLA-DRA', 'IGF2R', 'MDGA1', 'NCAM2', 'PON3', 'RANGAP1', 'RETN', 'TMPRSS5']",14
Fold 76,[],0
Fold 77,[],0
Fold 78,"['CCL15', 'CDHR1', 'CEACAM5', 'CPA2', 'CRTAC1', 'CTSH', 'CTSV', 'DPEP2', 'FCRLB', 'GFRA2', 'HPGDS', 'IL13', 'IL2', 'MDGA1', 'MSLN', 'MZB1', 'NPY', 'PCSK9', 'PRSS8', 'TMPRSS5', 'TNC', 'XPNPEP2']",22
Fold 79,"['CD1C', 'DPEP2', 'MDGA1', 'PON3']",4
Fold 80,"['CCL20', 'CES2', 'IL5RA', 'MDGA1', 'PDGFRA', 'PRSS8', 'TMPRSS5', 'XPNPEP2']",8
Fold 81,[],0
Fold 82,"['CCL20', 'CRTAC1', 'MDGA1']",3
Fold 83,"['AOC1', 'BAIAP2', 'CCL20', 'CD1C', 'CPVL', 'CRTAC1', 'FCRLB', 'FOSB', 'IL17C', 'IL5RA', 'KLK12', 'LILRB1', 'LYPD1', 'MDGA1', 'NCAM2', 'NDRG1', 'PLA2G7', 'PON3', 'RANGAP1', 'RETN', 'S100A16']",21
Fold 84,"['ADAMTS13', 'CCL20', 'CRTAC1', 'CTSF', 'DPEP2', 'FBP1', 'GGT1', 'HLA-DRA', 'IGF2R', 'IL16', 'MDGA1', 'PDGFC', 'PRL']",13
Fold 85,"['MDGA1', 'TMPRSS5']",2
Fold 86,"['CCL20', 'FCRLB']",2
Fold 87,"['CD1C', 'LTBP3']",2
Fold 88,"['CRTAC1', 'DPEP2', 'MDGA1']",3
Fold 89,"['CCL15', 'CRTAC1', 'MDGA1', 'TMPRSS5']",4
Fold 90,"['CCL20', 'CRTAC1', 'DPEP2', 'MDGA1', 'NDRG1', 'PDGFC', 'PON3']",7
Fold 91,[],0
Fold 92,"['CCL15', 'FCRLB', 'MDGA1', 'TMPRSS5']",4
Fold 93,"['FCRLB', 'LTBP3']",2
Fold 94,"['CCL20', 'CD1C', 'CDHR1', 'CNTN2', 'CRTAC1', 'CTSH', 'FCRLB', 'LYPD3', 'MDGA1', 'MZB1', 'NCAM2', 'NPTN', 'PRL', 'RETN', 'TMPRSS5']",15
Fold 95,"['CCL20', 'CRTAC1', 'MDGA1', 'TMPRSS5', 'XPNPEP2']",5
Fold 96,"['CCL20', 'CD1C', 'CRTAC1', 'DPEP2', 'FOSB', 'MDGA1', 'NPTN', 'PDGFC', 'TDGF1', 'TMPRSS5']",10
Fold 97,[],0
Fold 98,"['AOC1', 'CA6', 'CCL20', 'CD1C', 'CRTAC1', 'FCRLB', 'IL5RA', 'LILRB1', 'LTBP3', 'MDGA1', 'NCAM2', 'PON3', 'RETN', 'S100A16']",14
Fold 99,"['FCRLB', 'IGF2R', 'MDGA1', 'TMPRSS5', 'XPNPEP2']",5
