,Fold selected features,Fold #features
Fold_80,"['TRIO', 'CDK10', 'HNRNPA3P6', 'MAGI2-AS3', 'YWHAQP5', 'RPL23AP7', 'GAPDHP60', 'GOLGA5P1', 'MTRNR2L8']",9
Fold_81,"['DNAH3', 'TMEM170A', 'MIRLET7D', 'YWHAQP5', 'Y_RNA.361', 'RPL23AP7', 'GOLGA5P1']",7
Fold_82,"['TRIO', 'E4F1', 'CDK10', 'Y_RNA.138', 'MT-TM', 'MT-TH', 'RPL34P34', 'RPL23AP7', 'GOLGA5P1']",9
Fold_83,"['VIL1', 'DNAH3', 'OXTR', 'MAGI2', 'MT-TH', 'RPL23AP7']",6
Fold_84,"['TRIO', 'TNNI2', 'CDK10', 'Y_RNA.201', 'MT-TH', 'HNRNPA3P6', 'RPL23AP7', 'GAPDHP60', 'GOLGA5P1', 'MTRNR2L8']",10
Fold_85,"['PIR', 'MAMSTR', 'CDK10', 'HNRNPA3P6', 'RPL34P34', 'YWHAQP5', 'RPL23AP7']",7
Fold_86,"['CDK10', 'Y_RNA.138', 'Y_RNA.201', 'HNRNPA3P6', 'RPL23AP7', 'MTRNR2L8']",6
Fold_87,"['TRIO', 'ACACB', 'CDK10', 'GPX1P1', 'MIRLET7D', 'RNA5SP387', 'Y_RNA.138', 'Y_RNA.201', 'MT-TR', 'MT-TH', 'RP4-765C7.2', 'HNRNPA3P6', 'DPP10-AS1', 'RPL34P34', 'YWHAQP5', 'RPL23AP7', 'THAP9-AS1']",17
Fold_88,"['TRIO', 'CDK10', 'GPX1P1', 'MIRLET7D', 'MT-TR', 'MT-TH', 'RPL34P34', 'RPL23AP7', 'GOLGA5P1']",9
Fold_89,"['RBFA', 'CDK10', 'RPL34P34', 'RPL23AP7', 'THAP9-AS1', 'GOLGA5P1']",6
Fold_90,"['Y_RNA.138', 'MT-TM', 'MT-TR', 'MT-TH', 'RPL34P34', 'RPL23AP7', 'GOLGA5P1', 'MTRNR2L8']",8
Fold_91,"['ARHGAP44', 'MVK', 'CDK10', 'MT-TC', 'HNRNPA3P6', 'DPP10-AS1', 'YWHAQP5', 'RPL23AP7']",8
Fold_92,"['CDK10', 'MT-TM', 'RPL23AP7', 'MTRNR2L8']",4
Fold_93,"['TIGD7', 'HNRNPA3P6', 'YWHAQP5', 'RPL23AP7', 'THAP9-AS1']",5
Fold_94,"['TRIO', 'CDK10', 'MT-TH', 'HNRNPA3P6', 'RPL23AP7', 'GAPDHP60', 'THAP9-AS1', 'GOLGA5P1', 'MTRNR2L8']",9
Fold_95,"['HNRNPA3P6', 'RPL23AP7']",2
Fold_96,"['PLEK2', 'CDK10', 'YWHAQP5', 'RPL23AP7', 'GAPDHP60', 'GOLGA5P1', 'MTRNR2L8']",7
Fold_97,"['KIAA1257', 'TMEM70', 'MT-TM', 'MT-TR', 'MT-TH', 'RPL34P34', 'RPL23AP7', 'RP11-120B7.1', 'GOLGA5P1', 'RP11-22N19.2']",10
Fold_98,"['PLB1', 'CLEC4D', 'RPL34P34']",3
Fold_99,"['PIR', 'MVK', 'IFT43', 'C6orf203', 'CDK10', 'RNA5SP387', 'MT-TH', 'YWHAQP5', 'SNORD97', 'RPL23AP7']",10
