,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.5}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
PRO_TBK1,0.0,0.0,0.002619553102029027,0.0002639599143494062,0.006137293770060124,0.0035353874766201215,0.008874176967239475,0.005999796204466579,0.03410802861308142,0.01609043271606651
PRO_PTPN2,0.0,0.0,0.0,0.0,0.0,0.0,0.003050541130566975,0.00041138510483331104,0.04091263185980808,0.01976197431587822
PRO_BCL2,0.0,0.0,6.405666404242895e-05,0.0,6.96181174999588e-05,0.0,9.831184763819126e-05,0.0,0.00489895396486143,0.0006829579888499199
PRO_BCL2A1,0.0,0.0,0.0,0.0,0.0,0.0,0.009282012155447925,0.001775192604205215,0.07496266180969677,0.03883918590823149
PRO_CDK1|CCNB1,0.0,0.0,0.0,0.0,0.00013299974791640073,0.0,0.0008084353056846829,0.0002211419813390755,0.011560131466783806,0.0027316393211778193
PRO_FLT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0007849449830528414,0.00015286965758000507,0.01067676617885764,0.0039253536142863
PRO_CXCL8,0.0,0.0,0.0,0.0,0.0,0.0,0.0018917048137096295,0.00020980315744622546,0.03915657931839586,0.01640163474852106
PRO_SELE,0.0,0.0,0.0,0.0,1.8662494896323292e-05,0.0,0.003409044287709128,0.0003381934930427924,0.03375829647633971,0.015439019974431594
PRO_BIRC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0012239079762850018,7.428446477821007e-05,0.028642191527095195,0.010350728296588504
PRO_THBS1,0.0,0.0,0.0,0.0,0.0,0.0,0.000614872051470313,2.5756292827569595e-05,0.017015135184403264,0.006272911192474808
PRO_NTRK1,0.0,0.0,0.021849795357800635,0.0025256917398611962,0.04498943565916974,0.025565622725902667,0.049183234616127364,0.03597109287431516,0.09882164049520047,0.05935951530357238
PRO_AGT,0.0,0.0,0.0,0.0,0.0002802045199524805,0.0,0.0030060408908020855,0.0009686705506875132,0.02970598535507582,0.013083326441665502
