fold,AUC,AP,ACC,BACC,n_train,n_test
39,0.7532051282051282,0.5293289678158098,0.6052631578947368,0.6666666666666667,150,38
40,0.4378698224852071,0.38385093167701867,0.5128205128205128,0.4807692307692307,149,39
41,0.8228571428571428,0.8869277976219496,0.6923076923076923,0.7128571428571429,149,39
42,0.9038461538461539,0.8393341307814993,0.7894736842105263,0.7788461538461539,150,38
43,0.7777777777777778,0.6716775599128539,0.6111111111111112,0.6666666666666667,152,36
44,0.7868421052631579,0.7195115489319079,0.717948717948718,0.7197368421052632,149,39
45,0.5344827586206896,0.3598638302681018,0.47368421052631576,0.46360153256704983,150,38
46,0.6081871345029239,0.6044404794404794,0.5945945945945946,0.587719298245614,151,37
47,0.5171957671957672,0.6382452702428658,0.41025641025641024,0.4007936507936508,149,39
48,0.6392857142857142,0.3290881340881341,0.631578947368421,0.6857142857142857,150,38
49,0.5980392156862744,0.4560760619463977,0.6585365853658537,0.6740196078431373,147,41
50,0.6137566137566137,0.7066445062873636,0.5641025641025641,0.5595238095238095,149,39
51,0.5874125874125874,0.3776374151374151,0.5405405405405406,0.5681818181818181,151,37
52,0.49107142857142855,0.6236424675512697,0.42105263157894735,0.40773809523809523,150,38
53,0.5646551724137931,0.33842905405405405,0.5135135135135135,0.5991379310344828,151,37
54,0.6467391304347826,0.5139799157666005,0.6153846153846154,0.6263586956521738,149,39
55,0.6123076923076923,0.39966902992416314,0.5789473684210527,0.5692307692307692,150,38
56,0.5527950310559007,0.4415012189103347,0.4864864864864865,0.5031055900621118,151,37
57,0.5527950310559007,0.7483002733141982,0.5405405405405406,0.4906832298136646,151,37
58,0.6405529953917051,0.2574519462957596,0.5526315789473685,0.6705069124423964,150,38
59,0.6923076923076923,0.6291138348830656,0.6842105263157895,0.6676923076923077,150,38
60,0.4777777777777778,0.3955320660819382,0.46153846153846156,0.4875,149,39
61,0.5801630434782608,0.5571146333532441,0.5641025641025641,0.5733695652173914,149,39
62,0.3298611111111111,0.3164141414141414,0.3611111111111111,0.2916666666666667,152,36
63,0.5638020833333334,0.46948536067831204,0.5,0.5104166666666666,148,40
64,0.6398601398601398,0.8070632097904292,0.6486486486486487,0.5926573426573426,151,37
65,0.6380208333333334,0.5553866304833798,0.55,0.59375,148,40
66,0.5833333333333334,0.5243021141869826,0.6,0.59375,148,40
67,0.6846590909090908,0.5885136425677687,0.6578947368421053,0.6704545454545454,150,38
68,0.5357142857142858,0.48775890742338973,0.4878048780487805,0.49047619047619045,147,41
69,0.6202898550724637,0.536965996965997,0.5,0.5057971014492754,150,38
70,0.6410256410256411,0.44606592238171183,0.5789473684210527,0.6025641025641025,150,38
71,0.375,0.14318413072228764,0.3684210526315789,0.35416666666666663,150,38
72,0.7085561497326203,0.7375495915584116,0.5897435897435898,0.589572192513369,149,39
73,0.7321937321937322,0.4765852203352203,0.675,0.6794871794871795,148,40
74,0.5350877192982456,0.5438899885803911,0.55,0.556390977443609,148,40
75,0.2947368421052632,0.46514972647855163,0.358974358974359,0.3592105263157894,149,39
76,0.6361111111111111,0.5548576297019011,0.5897435897435898,0.5666666666666667,149,39
77,0.6466666666666666,0.7394669053374627,0.4857142857142857,0.525,153,35
78,0.5810276679841897,0.4403345911367302,0.6176470588235294,0.5988142292490118,154,34
79,0.503125,0.4650978274045162,0.4722222222222222,0.48125,152,36
80,0.43611111111111117,0.34025552771662615,0.4358974358974359,0.41666666666666663,149,39
81,0.8352272727272727,0.8535749276437087,0.7105263157894737,0.6988636363636364,150,38
82,0.4294117647058824,0.5876125534713263,0.4864864864864865,0.49411764705882355,151,37
83,0.675,0.605749624435804,0.6097560975609756,0.6047619047619048,147,41
84,0.5442857142857143,0.6487643866431052,0.48717948717948717,0.5214285714285715,149,39
85,0.6510416666666666,0.5243229465783813,0.55,0.5416666666666667,148,40
86,0.6157894736842104,0.6378266827882328,0.5128205128205128,0.5078947368421052,149,39
87,0.5378151260504201,0.6247800252427467,0.5789473684210527,0.5686274509803921,150,38
88,0.5394021739130435,0.4595530626780627,0.48717948717948717,0.4891304347826087,149,39
89,0.5864197530864197,0.35861792528459197,0.5833333333333334,0.6111111111111112,152,36
90,0.48695652173913045,0.38435956111013325,0.47368421052631576,0.48405797101449277,150,38
91,0.6015325670498085,0.3248155070735716,0.5263157894736842,0.5747126436781609,150,38
92,0.46360153256704983,0.27459639126305796,0.39473684210526316,0.3735632183908046,150,38
93,0.6376811594202898,0.5860926013557591,0.6578947368421053,0.6130434782608696,150,38
94,0.49573863636363635,0.4494336026169643,0.47368421052631576,0.4772727272727273,150,38
95,0.7916666666666666,0.565919089968003,0.6944444444444444,0.6875,152,36
96,0.7291666666666667,0.8204657445404993,0.7105263157894737,0.6666666666666667,150,38
97,0.45357142857142857,0.2708176584970063,0.42105263157894735,0.3821428571428571,150,38
98,0.6408668730650156,0.6886909534394055,0.6111111111111112,0.6006191950464397,152,36
99,0.5722222222222222,0.41392212204225554,0.5384615384615384,0.525,149,39
