,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.5}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
unstim_CD4T_154Sm_STAT3,0.0,0.0,0.006666666666666667,0.0,0.1,0.04,0.18333333333333332,0.08666666666666667,0.6166666666666667,0.36
unstim_CD4T_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.016666666666666666
unstim_CD4T_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.23333333333333334,0.07666666666666666
unstim_CD4T_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.18666666666666668,0.03666666666666667
unstim_CD4Tcm_149Sm_CREB,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.03333333333333333,0.0033333333333333335,0.4266666666666667,0.16666666666666666
unstim_CD4Tcm_150Nd_STAT5,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.02666666666666667,0.006666666666666667,0.31666666666666665,0.1
unstim_CD4Tcm_154Sm_STAT3,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.07666666666666666,0.03,0.48,0.23666666666666666
unstim_CD4Tcm_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.016666666666666666
unstim_CD4Tcm_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15666666666666668,0.02666666666666667
unstim_CD4Tcm_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.20666666666666667,0.04666666666666667
unstim_CD4Tem_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0033333333333333335,0.22666666666666666,0.06
unstim_CD4Tem_150Nd_STAT5,0.0,0.0,0.006666666666666667,0.0,0.023333333333333334,0.006666666666666667,0.056666666666666664,0.02,0.3433333333333333,0.15333333333333332
unstim_CD4Tem_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12333333333333334,0.0033333333333333335
unstim_CD4Tem_164Dy_IkB,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.03666666666666667,0.01,0.25,0.09333333333333334
unstim_CD4Tem_166Er_NFkB,0.0,0.0,0.0,0.0,0.01,0.0033333333333333335,0.02666666666666667,0.006666666666666667,0.24,0.08
unstim_CD4Tnaive_150Nd_STAT5,0.0,0.0,0.006666666666666667,0.0,0.08,0.03,0.18,0.07,0.47333333333333333,0.2966666666666667
unstim_CD4Tnaive_154Sm_STAT3,0.0,0.0,0.0,0.0,0.03,0.0,0.07666666666666666,0.03333333333333333,0.41,0.23
unstim_CD4Tnaive_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.19666666666666666,0.043333333333333335
unstim_CD4Tnaive_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.2833333333333333,0.07666666666666666
unstim_CD4Tnaive_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.20666666666666667,0.04
unstim_CD4Trm_149Sm_CREB,0.0,0.0,0.0,0.0,0.006666666666666667,0.0033333333333333335,0.02666666666666667,0.0033333333333333335,0.38333333333333336,0.11
unstim_CD4Trm_150Nd_STAT5,0.0,0.0,0.05333333333333334,0.0033333333333333335,0.4033333333333333,0.25666666666666665,0.5733333333333334,0.44,0.74,0.6433333333333333
unstim_CD4Trm_159Tb_MAPKAPK2,0.0,0.0,0.006666666666666667,0.0,0.03666666666666667,0.006666666666666667,0.07,0.03,0.30666666666666664,0.13666666666666666
unstim_CD4Trm_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.30666666666666664,0.08333333333333333
unstim_CD4Trm_166Er_NFkB,0.0,0.0,0.0,0.0,0.05333333333333334,0.016666666666666666,0.13,0.056666666666666664,0.37666666666666665,0.2
unstim_CD4Trm_168Er_pSTAT6,0.0,0.0,0.016666666666666666,0.0,0.08333333333333333,0.02666666666666667,0.16,0.09,0.55,0.2966666666666667
unstim_CD56brightCD16negNK_149Sm_CREB,0.0,0.0,0.0,0.0,0.08666666666666667,0.023333333333333334,0.16666666666666666,0.07333333333333333,0.49666666666666665,0.26
unstim_CD56brightCD16negNK_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.10333333333333333,0.03,0.29,0.14333333333333334,0.5833333333333334,0.43666666666666665
unstim_CD56brightCD16negNK_164Dy_IkB,0.0,0.0,0.013333333333333334,0.0,0.18666666666666668,0.11,0.29,0.17666666666666667,0.5733333333333334,0.39
unstim_CD56brightCD16negNK_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.31,0.09
unstim_CD56dimCD16posNK_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.26,0.08333333333333333
unstim_CD56dimCD16posNK_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.023333333333333334,0.0033333333333333335,0.2866666666666667,0.09
unstim_CD56dimCD16posNK_164Dy_IkB,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.02666666666666667,0.0,0.35333333333333333,0.13333333333333333
unstim_CD56dimCD16posNK_166Er_NFkB,0.0,0.0,0.01,0.0,0.13333333333333333,0.05,0.26666666666666666,0.14,0.5666666666666667,0.3433333333333333
unstim_CD8T_149Sm_CREB,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.05,0.02,0.26666666666666666,0.1
unstim_CD8T_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.37,0.13
unstim_CD8T_164Dy_IkB,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.15666666666666668,0.023333333333333334
unstim_CD8T_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.2733333333333333,0.08666666666666667
unstim_CD8Tcm_149Sm_CREB,0.0,0.0,0.006666666666666667,0.0,0.13666666666666666,0.043333333333333335,0.2633333333333333,0.12333333333333334,0.51,0.32
unstim_CD8Tcm_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333333333333334,0.016666666666666666
unstim_CD8Tcm_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.13333333333333333,0.03333333333333333
unstim_CD8Tcm_166Er_NFkB,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.03666666666666667,0.0033333333333333335,0.35,0.10333333333333333
unstim_CD8Tem_149Sm_CREB,0.0,0.0,0.0,0.0,0.023333333333333334,0.0,0.08333333333333333,0.016666666666666666,0.31,0.12
unstim_CD8Tem_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.16333333333333333,0.04666666666666667
unstim_CD8Tem_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333333333333334,0.01
unstim_CD8Tem_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.29,0.11666666666666667
unstim_CD8Tnaive_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.21333333333333335,0.05
unstim_CD8Tnaive_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.08
unstim_CD8Tnaive_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0033333333333333335,0.31333333333333335,0.1
unstim_CD8Trm_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.29,0.08333333333333333
unstim_CD8Trm_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0033333333333333335,0.35333333333333333,0.12333333333333334
unstim_CD8Trm_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15333333333333332,0.02
unstim_CD8Trm_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.023333333333333334,0.0033333333333333335,0.34,0.16333333333333333
unstim_cMC_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.23,0.06333333333333334
unstim_cMC_154Sm_STAT3,0.0,0.0,0.0,0.0,0.02666666666666667,0.01,0.11,0.043333333333333335,0.44666666666666666,0.25
unstim_cMC_155Gd_S6,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.03333333333333333,0.01,0.3433333333333333,0.13
unstim_cMC_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.06,0.0033333333333333335,0.58,0.24666666666666667
unstim_cMC_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17333333333333334,0.043333333333333335
unstim_cMC_166Er_NFkB,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.03,0.0033333333333333335,0.3933333333333333,0.18
unstim_CXCR4neutro_149Sm_CREB,0.0,0.0,0.0033333333333333335,0.0,0.07666666666666666,0.02,0.13333333333333333,0.056666666666666664,0.47,0.26
unstim_CXCR4neutro_150Nd_STAT5,0.0,0.0,0.0,0.0,0.023333333333333334,0.0033333333333333335,0.08,0.04,0.5,0.27
unstim_CXCR4neutro_154Sm_STAT3,0.0,0.0,0.0,0.0,0.26,0.08333333333333333,0.52,0.32,0.79,0.65
unstim_CXCR4neutro_155Gd_S6,0.0,0.0,0.05333333333333334,0.0,0.35,0.21333333333333335,0.4866666666666667,0.35,0.7366666666666667,0.6033333333333334
unstim_CXCR4neutro_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.043333333333333335,0.013333333333333334,0.15333333333333332,0.056666666666666664,0.5533333333333333,0.30666666666666664
unstim_CXCR4neutro_164Dy_IkB,0.0,0.0,0.0,0.0,0.043333333333333335,0.0,0.1,0.05,0.48,0.23
unstim_CXCR4neutro_166Er_NFkB,0.0,0.0,0.0,0.0,0.023333333333333334,0.0033333333333333335,0.08333333333333333,0.03666666666666667,0.49,0.21666666666666667
unstim_DC_149Sm_CREB,0.0,0.0,0.0033333333333333335,0.0,0.016666666666666666,0.0,0.06666666666666667,0.023333333333333334,0.4666666666666667,0.23666666666666666
unstim_DC_155Gd_S6,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.03,0.01,0.37333333333333335,0.13
unstim_DC_164Dy_IkB,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.013333333333333334,0.0033333333333333335,0.30666666666666664,0.10666666666666667
unstim_DC_166Er_NFkB,0.0,0.0,0.0,0.0,0.17333333333333334,0.04,0.43333333333333335,0.22333333333333333,0.7366666666666667,0.5833333333333334
unstim_gdT_149Sm_CREB,0.0,0.0,0.0,0.0,0.03333333333333333,0.013333333333333334,0.07333333333333333,0.03666666666666667,0.37333333333333335,0.16666666666666666
unstim_gdT_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.07333333333333333,0.03666666666666667,0.5,0.25
unstim_gdT_164Dy_IkB,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.05333333333333334,0.006666666666666667,0.31666666666666665,0.16
unstim_gdT_166Er_NFkB,0.0,0.0,0.04666666666666667,0.0,0.4,0.22333333333333333,0.47333333333333333,0.37666666666666665,0.72,0.5566666666666666
unstim_gdT_168Er_pSTAT6,0.0,0.0,0.013333333333333334,0.0,0.22,0.08,0.3466666666666667,0.20666666666666667,0.62,0.42333333333333334
unstim_Granulocytes_149Sm_CREB,0.0,0.0,0.0,0.0,0.03333333333333333,0.0033333333333333335,0.20666666666666667,0.06666666666666667,0.5533333333333333,0.33666666666666667
unstim_Granulocytes_154Sm_STAT3,0.0,0.0,0.0,0.0,0.08,0.02,0.24333333333333335,0.12333333333333334,0.6233333333333333,0.4533333333333333
unstim_Granulocytes_155Gd_S6,0.0,0.0,0.056666666666666664,0.0,0.3233333333333333,0.16333333333333333,0.46,0.30666666666666664,0.74,0.5733333333333334
unstim_Granulocytes_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.3466666666666667,0.08666666666666667
