,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000586)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
CD8Tcells_Th1_pERK_PI,0.116,0.055,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pERK_PI,0.062,0.023,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pERK_PI,0.174,0.117,0.057,0.015,0.0,0.0,0.0,0.0,0.0,0.0
CD8Teff_pERK_PI,0.053,0.016,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_pERK_PI,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pERK_PI,0.147,0.075,0.028,0.002,0.0,0.0,0.0,0.0,0.0,0.0
NKT_pERK_PI,0.212,0.131,0.067,0.014,0.001,0.0,0.0,0.0,0.0,0.0
pDCs_pERK_PI,0.087,0.054,0.037,0.015,0.003,0.0,0.0,0.0,0.0,0.0
CD4Teff_pMK2_PI,0.188,0.091,0.03,0.005,0.001,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pMK2_PI,0.049,0.047,0.054,0.034,0.014,0.003,0.0,0.0,0.0,0.0
Granulocytes_pMK2_PI,0.355,0.208,0.079,0.018,0.007,0.0,0.0,0.0,0.0,0.0
intMCs_pMK2_PI,0.009,0.005,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pMK2_PI,0.65,0.664,0.469,0.155,0.023,0.0,0.0,0.0,0.0,0.0
pDCs_pMK2_PI,0.156,0.107,0.139,0.167,0.063,0.0,0.0,0.0,0.0,0.0
Bcells_pNFkB_PI,0.059,0.029,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_pNFkB_PI,0.037,0.009,0.004,0.001,0.001,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pNFkB_PI,0.073,0.037,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tregs_pNFkB_PI,0.618,0.458,0.251,0.07,0.023,0.001,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pNFkB_PI,0.175,0.079,0.031,0.011,0.003,0.0,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pNFkB_PI,0.339,0.228,0.101,0.01,0.0,0.0,0.0,0.0,0.0,0.0
CD56loCD16posNK_pNFkB_PI,0.095,0.04,0.012,0.003,0.001,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pNFkB_PI,0.472,0.379,0.22,0.033,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pNFkB_PI,0.106,0.048,0.027,0.022,0.017,0.002,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pNFkB_PI,0.89,0.864,0.779,0.552,0.233,0.01,0.0,0.0,0.0,0.0
CD8Teff_pNFkB_PI,0.108,0.049,0.015,0.002,0.002,0.0,0.0,0.0,0.0,0.0
CD8Tem_pNFkB_PI,0.13,0.078,0.03,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pNFkB_PI,0.07,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pNFkB_PI,0.055,0.028,0.012,0.004,0.001,0.0,0.0,0.0,0.0,0.0
MDSCs_pNFkB_PI,0.032,0.005,0.008,0.006,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_pNFkB_PI,0.028,0.014,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cneg_pNFkB_PI,0.061,0.024,0.006,0.004,0.005,0.001,0.0,0.0,0.0,0.0
NKT_pNFkB_PI,0.1,0.045,0.02,0.016,0.003,0.0,0.0,0.0,0.0,0.0
intMCs_pNFkB_PI,0.013,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pNFkB_PI,0.099,0.067,0.027,0.002,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pNFkB_PI,0.337,0.231,0.11,0.027,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_pS6_PI,0.406,0.354,0.218,0.067,0.004,0.0,0.0,0.0,0.0,0.0
CD4Tcm_pS6_PI,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pS6_PI,0.007,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pS6_PI,0.016,0.01,0.008,0.005,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_pS6_PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pS6_PI,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pS6_PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tregs_pS6_PI,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pS6_PI,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pS6_PI,0.168,0.047,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56loCD16posNK_pS6_PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pS6_PI,0.447,0.447,0.405,0.227,0.026,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pS6_PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pS6_PI,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Teff_pS6_PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_pS6_PI,0.01,0.006,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pS6_PI,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_pS6_PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pS6_PI,0.817,0.836,0.778,0.48,0.125,0.002,0.0,0.0,0.0,0.0
MDSCs_pS6_PI,0.028,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_pS6_PI,0.012,0.008,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cneg_pS6_PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKT_pS6_PI,0.009,0.007,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pS6_PI,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pS6_PI,0.067,0.043,0.017,0.005,0.001,0.0,0.0,0.0,0.0,0.0
mDCs_pS6_PI,0.003,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pS6_PI,0.164,0.126,0.065,0.024,0.01,0.0,0.0,0.0,0.0,0.0
pDCs_pS6_PI,0.035,0.025,0.013,0.001,0.0,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT1_PI,0.024,0.016,0.012,0.008,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT1_PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT1_PI,0.001,0.0,0.003,0.002,0.002,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT1_PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_pSTAT3_PI,0.001,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pSTAT3_PI,0.072,0.033,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pSTAT3_PI,0.78,0.692,0.451,0.133,0.007,0.0,0.0,0.0,0.0,0.0
CD4Tregs_pSTAT3_PI,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_pSTAT3_PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pSTAT3_PI,0.15,0.108,0.069,0.028,0.006,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT3_PI,0.147,0.135,0.142,0.162,0.137,0.041,0.0,0.0,0.0,0.0
intMCs_pSTAT3_PI,0.005,0.002,0.004,0.007,0.005,0.002,0.0,0.0,0.0,0.0
ncMCs_pSTAT3_PI,0.233,0.15,0.058,0.007,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pSTAT5_PI,0.02,0.009,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pSTAT5_PI,0.749,0.762,0.765,0.633,0.215,0.005,0.0,0.0,0.0,0.0
CD4Tregs_pSTAT5_PI,0.438,0.408,0.327,0.152,0.018,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pSTAT5_PI,0.017,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Teff_pSTAT5_PI,0.444,0.397,0.3,0.188,0.111,0.027,0.0,0.0,0.0,0.0
CD8Tnaive_pSTAT5_PI,0.07,0.028,0.014,0.002,0.0,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT5_PI,0.098,0.112,0.112,0.06,0.015,0.0,0.0,0.0,0.0,0.0
NKT_pSTAT5_PI,0.19,0.172,0.153,0.179,0.157,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT5_PI,0.012,0.013,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT5_PI,0.011,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT5_PI,0.024,0.009,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pSTAT5_PI,0.046,0.029,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_pSTAT6_PI,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_pSTAT6_PI,0.029,0.004,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pSTAT6_PI,0.036,0.011,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pSTAT6_PI,0.054,0.034,0.01,0.004,0.001,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pSTAT6_PI,0.009,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pSTAT6_PI,0.083,0.053,0.019,0.005,0.001,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT6_PI,0.007,0.009,0.006,0.008,0.0,0.0,0.0,0.0,0.0,0.0
NKT_pSTAT6_PI,0.087,0.047,0.012,0.001,0.001,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT6_PI,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT6_PI,0.025,0.031,0.043,0.025,0.001,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT6_PI,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
