,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.114,0.284,0.228,0.166,0.085,0.008,0.0,0.0,0.0,0.0,0.0
artificial.115,0.249,0.204,0.127,0.053,0.014,0.001,0.0,0.0,0.0,0.0
artificial.116,0.243,0.186,0.14,0.049,0.002,0.0,0.0,0.0,0.0,0.0
artificial.117,0.346,0.258,0.135,0.04,0.007,0.0,0.0,0.0,0.0,0.0
artificial.118,0.313,0.216,0.112,0.04,0.005,0.0,0.0,0.0,0.0,0.0
artificial.119,0.209,0.151,0.082,0.035,0.001,0.0,0.0,0.0,0.0,0.0
artificial.120,0.208,0.136,0.079,0.027,0.003,0.0,0.0,0.0,0.0,0.0
artificial.121,0.144,0.092,0.047,0.013,0.003,0.002,0.0,0.0,0.0,0.0
artificial.122,0.29,0.203,0.108,0.027,0.002,0.0,0.0,0.0,0.0,0.0
artificial.123,0.19,0.135,0.082,0.039,0.009,0.0,0.0,0.0,0.0,0.0
artificial.124,0.399,0.29,0.13,0.03,0.001,0.0,0.0,0.0,0.0,0.0
artificial.125,0.367,0.315,0.26,0.181,0.079,0.014,0.0,0.0,0.0,0.0
artificial.126,0.268,0.163,0.062,0.009,0.0,0.0,0.0,0.0,0.0,0.0
artificial.127,0.621,0.555,0.421,0.235,0.08,0.027,0.0,0.0,0.0,0.0
artificial.128,0.28,0.201,0.105,0.042,0.005,0.0,0.0,0.0,0.0,0.0
artificial.129,0.17,0.091,0.041,0.006,0.0,0.0,0.0,0.0,0.0,0.0
artificial.130,0.169,0.097,0.036,0.01,0.001,0.001,0.0,0.0,0.0,0.0
artificial.131,0.224,0.15,0.077,0.026,0.006,0.001,0.0,0.0,0.0,0.0
artificial.132,0.324,0.251,0.168,0.064,0.014,0.001,0.0,0.0,0.0,0.0
artificial.133,0.385,0.332,0.239,0.098,0.009,0.0,0.0,0.0,0.0,0.0
