fold,AUC,AP,ACC,BACC,n_train,n_test
75,0.5776315789473685,0.544576024920375,0.5384615384615384,0.5421052631578948,149,39
76,0.6777777777777778,0.6020200480056868,0.5897435897435898,0.5791666666666666,149,39
77,0.8333333333333333,0.8332392476804242,0.8,0.8166666666666667,153,35
78,0.48221343873517786,0.3319553898114269,0.5588235294117647,0.5079051383399209,154,34
79,0.64375,0.6813766038631403,0.5277777777777778,0.51875,152,36
80,0.7749999999999999,0.6226381030076227,0.717948717948718,0.6833333333333333,149,39
81,0.6434659090909092,0.6394134761177616,0.7368421052631579,0.7130681818181819,150,38
82,0.44852941176470584,0.5770570917645506,0.40540540540540543,0.41470588235294115,151,37
83,0.7880952380952381,0.7500430399354757,0.6341463414634146,0.6309523809523809,147,41
84,0.5785714285714285,0.7205257471286884,0.46153846153846156,0.5328571428571429,149,39
85,0.640625,0.5327601966767012,0.725,0.6979166666666667,148,40
86,0.7763157894736842,0.6989816856689922,0.6410256410256411,0.6368421052631579,149,39
87,0.6946778711484594,0.670546338930503,0.6578947368421053,0.6624649859943978,150,38
88,0.7581521739130435,0.8175150829562594,0.7435897435897436,0.7445652173913043,149,39
89,0.668724279835391,0.531084656084656,0.8055555555555556,0.7592592592592593,152,36
90,0.7391304347826086,0.6597295252537188,0.7894736842105263,0.7797101449275362,150,38
91,0.8045977011494253,0.4421109754443088,0.7105263157894737,0.8103448275862069,150,38
92,0.5670498084291188,0.33383957036708456,0.47368421052631576,0.5402298850574713,150,38
93,0.6608695652173914,0.6099243489568567,0.6842105263157895,0.6231884057971014,150,38
94,0.625,0.5920933676319273,0.5263157894736842,0.5142045454545454,150,38
95,0.6736111111111112,0.4736360453272218,0.75,0.7083333333333334,152,36
96,0.6964285714285714,0.7634737847736083,0.6842105263157895,0.6607142857142857,150,38
97,0.4196428571428571,0.4004554147775198,0.42105263157894735,0.3821428571428571,150,38
98,0.7585139318885449,0.7036408208234833,0.75,0.7414860681114551,152,36
99,0.7833333333333333,0.6354037029474311,0.7948717948717948,0.7833333333333333,149,39
