,Fold selected features,Fold #features
Fold_45,"['TFPI2', 'CRTAC1', 'LTBP3', 'CCL7', 'PM20D1', 'TMPRSS5', 'PON3', 'MDGA1', 'MZB1']",9
Fold_46,"['PLAUR', 'GFRA2', 'IL13', 'LILRB1', 'PRSS8', 'PON3', 'MDGA1', 'FCN2', 'FCAR', 'RANGAP1', 'FOSB', 'CRTAC1', 'AOC1', 'CHIT1', 'NCAM2', 'IL5RA', 'IL17C', 'CD1C', 'RASA1', 'CCL20', 'S100A16', 'JUN', 'KLK12', 'ADGRG2']",24
Fold_47,"['CRTAC1', 'FCRLB', 'MDGA1', 'CD1C', 'ADAMTS13', 'CDHR1', 'CCL20', 'NPTN', 'MZB1']",9
Fold_48,"['MDGA1', 'PLAUR']",2
Fold_49,"['DLL1', 'DPEP2', 'NCAM2', 'MDGA1', 'GNLY', 'MZB1']",6
Fold_50,"['PLAUR', 'TMPRSS5', 'MDGA1', 'GNLY', 'MZB1']",5
Fold_51,"['XPNPEP2', 'PLAUR', 'FCRLB', 'BAIAP2', 'MDGA1']",5
Fold_52,"['CCL15', 'DPEP2', 'CRTAC1', 'PLAUR', 'MDGA1', 'MZB1']",6
Fold_53,"['MDGA1', 'CD1C', 'PLAUR', 'IL17C']",4
Fold_54,"['CRTAC1', 'DPEP2', 'MDGA1', 'SMOC2', 'GNLY', 'TNC', 'CCL20', 'NPTN', 'RANGAP1', 'FOSB', 'MZB1']",11
Fold_55,"['XPNPEP2', 'PLAUR', 'MDGA1', 'IGF2R', 'MZB1']",5
Fold_56,"['MDGA1', 'GNLY', 'JUN', 'AOC1']",4
Fold_57,"['GPA33', 'FCRLB', 'GGT5', 'CTSH', 'CD1C', 'CPA2', 'PM20D1', 'MDGA1', 'CDCP1', 'MZB1']",10
Fold_58,"['CRTAC1', 'DPEP2', 'PLAUR', 'HLA-DRA', 'TMPRSS5', 'MDGA1', 'MZB1', 'RETN']",8
Fold_59,"['LTBP3', 'PLAUR', 'GNLY', 'GFRA2', 'LYPD1', 'CA6', 'PRSS8', 'PON3', 'MDGA1', 'RANGAP1', 'CHIT1', 'IL5RA', 'IL17C', 'CD1C', 'SPINT1', 'NPTN', 'S100A16']",17
Fold_60,"['PLAUR', 'TMPRSS5', 'MDGA1', 'TDGF1', 'MZB1']",5
Fold_61,"['CRTAC1', 'DPEP2', 'PLAUR', 'GNLY', 'KLRD1', 'PDGFRA', 'TMPRSS5', 'MDGA1', 'FCRL5', 'MZB1']",10
Fold_62,"['CRTAC1', 'DPEP2', 'NDRG1', 'MDGA1', 'CD1C', 'ADAMTS13', 'CPA2', 'XPNPEP2', 'WIF1', 'CCL20', 'NPTN', 'JUN', 'MZB1', 'RETN']",14
Fold_63,"['CXCL8', 'CNTN5', 'PLAUR', 'TFF1', 'FCRLB', 'CD1C', 'IL17C', 'CDHR1', 'MDGA1', 'FOSB', 'RETN']",11
Fold_64,"['TMPRSS5', 'FCRLB', 'IL5RA', 'MDGA1', 'GNLY', 'CDCP1', 'MZB1']",7
Fold_65,"['DPEP2', 'PLAUR', 'ADAM15', 'FCRLB', 'SMOC2', 'FBP1', 'MSLN', 'MDGA1', 'CEACAM5', 'FOSB', 'PILRB', 'CCL15', 'CRTAC1', 'HPGDS', 'NCAM2', 'HLA-DRA', 'CAPG', 'IGF2R', 'CTSH', 'CD1C', 'IL13', 'CTSF']",22
Fold_66,"['MDGA1', 'MZB1', 'PRSS8']",3
Fold_67,"['TFPI2', 'CRTAC1', 'FCRLB', 'NCAM2', 'MDGA1', 'CCL7', 'CD1C', 'LILRB1', 'CDHR1', 'TMPRSS5', 'KIR2DL3', 'CCL20', 'FCRL5', 'MZB1']",14
Fold_68,"['CNTN5', 'AOC1', 'PLAUR', 'FCRLB', 'GFRA2', 'LILRB1', 'L1CAM', 'PON3', 'MDGA1', 'RETN']",10
Fold_69,"['CRTAC1', 'DPEP2', 'PLAUR', 'MDGA1', 'PDGFC', 'TMPRSS5', 'CCL20', 'MZB1', 'RETN']",9
Fold_70,"['GPA33', 'LTBP3', 'PLAUR', 'FCRLB', 'BAIAP2', 'GNLY', 'GFRA2', 'IL2RA', 'PRSS8', 'PON3', 'MDGA1', 'RANGAP1', 'FOSB', 'CXCL8', 'CNTN5', 'IL5RA', 'DSG4', 'PDGFRA', 'IL17C', 'CD1C', 'CDHR1', 'XPNPEP2', 'CES2', 'SCP2']",24
Fold_71,"['DPEP2', 'AOC1', 'PLAUR', 'FCRLB', 'MDGA1', 'CAPG', 'RETN']",7
Fold_72,"['CRTAC1', 'MDGA1', 'GNLY', 'CD1C', 'TMPRSS5', 'PRSS8', 'CCL20', 'MZB1']",8
Fold_73,"['MUC13', 'DPEP2', 'NDRG1', 'SMOC2', 'WIF1', 'MDGA1', 'MZB1', 'CRTAC1', 'APBB1IP', 'CD1C', 'TMPRSS5', 'CCL20', 'NPTN', 'JUN', 'CTSF']",15
Fold_74,"['DLL1', 'CRTAC1', 'PLAUR', 'MDGA1', 'HLA-DRA', 'MZB1']",6
Fold_75,"['CRTAC1', 'PLAUR', 'FCRLB', 'NCAM2', 'HLA-DRA', 'IGF2R', 'CDHR1', 'TMPRSS5', 'PON3', 'MDGA1', 'CCL20', 'RANGAP1', 'FOSB', 'CTSF', 'RETN']",15
Fold_76,['PLAUR'],1
Fold_77,"['TFPI2', 'MZB1']",2
Fold_78,"['DPEP2', 'PLAUR', 'CTSV', 'FCRLB', 'GFRA2', 'NPY', 'CPA2', 'MSLN', 'PRSS8', 'MDGA1', 'CEACAM5', 'MZB1', 'PCSK9', 'CCL15', 'CRTAC1', 'HPGDS', 'CTSH', 'TNC', 'CDHR1', 'XPNPEP2', 'TMPRSS5', 'IL13', 'IL2']",23
Fold_79,"['DPEP2', 'PLAUR', 'PON3', 'MDGA1', 'CD1C', 'MZB1']",6
Fold_80,"['TFPI2', 'IL5RA', 'MDGA1', 'GNLY', 'PDGFRA', 'DLL1', 'CES2', 'XPNPEP2', 'TMPRSS5', 'PRSS8', 'CCL20', 'MZB1']",12
Fold_81,"['PLAUR', 'MZB1']",2
Fold_82,"['CRTAC1', 'PLAUR', 'MDGA1', 'CCL20', 'MZB1']",5
Fold_83,"['NDRG1', 'PLAUR', 'FCRLB', 'BAIAP2', 'GNLY', 'LILRB1', 'LYPD1', 'PON3', 'MDGA1', 'CPVL', 'RANGAP1', 'FOSB', 'CRTAC1', 'AOC1', 'PLA2G7', 'NCAM2', 'IL5RA', 'IL17C', 'CD1C', 'CCL20', 'S100A16', 'KLK12', 'RETN']",23
Fold_84,"['DPEP2', 'PLAUR', 'FBP1', 'ULBP2', 'IL16', 'GGT1', 'MDGA1', 'MZB1', 'CRTAC1', 'HLA-DRA', 'IGF2R', 'ADAMTS13', 'PDGFC', 'CCL20', 'PRL', 'JUN', 'CTSF']",17
Fold_85,"['PLAUR', 'TMPRSS5', 'MDGA1', 'GNLY', 'MZB1']",5
Fold_86,"['CCL20', 'MZB1', 'FCRLB']",3
Fold_87,"['LTBP3', 'PLAUR', 'CD1C', 'CCL7', 'JUN', 'MZB1']",6
Fold_88,"['CRTAC1', 'DPEP2', 'MDGA1', 'GNLY', 'CCL7', 'MZB1']",6
Fold_89,"['CCL15', 'CRTAC1', 'TMPRSS5', 'MDGA1', 'MZB1']",5
Fold_90,"['CRTAC1', 'DPEP2', 'NDRG1', 'MDGA1', 'GNLY', 'PDGFC', 'PON3', 'CCL20', 'MZB1']",9
Fold_91,"['PLAUR', 'MZB1']",2
Fold_92,"['CCL15', 'IL2RA', 'PLAUR', 'TMPRSS5', 'FCRLB', 'MDGA1', 'MZB1']",7
Fold_93,"['LTBP3', 'CCL7', 'FCRLB', 'CDCP1']",4
Fold_94,"['PLAUR', 'FCRLB', 'LYPD3', 'MDGA1', 'PRL', 'MZB1', 'CRTAC1', 'NCAM2', 'CTSH', 'CD1C', 'CDHR1', 'TMPRSS5', 'CNTN2', 'NPTN', 'CCL20', 'RETN']",16
Fold_95,"['TFPI2', 'CRTAC1', 'MDGA1', 'GNLY', 'XPNPEP2', 'TMPRSS5', 'CCL20', 'MZB1']",8
Fold_96,"['CRTAC1', 'DPEP2', 'PLAUR', 'MDGA1', 'GNLY', 'CASP1', 'CD1C', 'PDGFC', 'TMPRSS5', 'CCL20', 'NPTN', 'FOSB', 'TDGF1']",13
Fold_97,['PLAUR'],1
Fold_98,"['LTBP3', 'PLAUR', 'FCRLB', 'CCL7', 'LILRB1', 'CA6', 'PON3', 'MDGA1', 'TFPI2', 'CRTAC1', 'AOC1', 'NCAM2', 'IL5RA', 'CD1C', 'CCL20', 'S100A16', 'RETN']",17
Fold_99,"['XPNPEP2', 'TMPRSS5', 'FCRLB', 'MDGA1', 'IGF2R', 'MZB1']",6
