,"{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.5}","{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.7}","{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.9}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.5}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.7}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.9}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.5}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.7}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.9}","{'alpha': np.float64(10.0), 'l1_ratio': 0.5}","{'alpha': np.float64(10.0), 'l1_ratio': 0.7}","{'alpha': np.float64(10.0), 'l1_ratio': 0.9}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.5}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.7}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.9}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.5}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.7}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.9}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.5}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.7}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.9}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.5}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.7}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.9}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.5}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.7}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.9}","{'alpha': np.float64(100.0), 'l1_ratio': 0.5}","{'alpha': np.float64(100.0), 'l1_ratio': 0.7}","{'alpha': np.float64(100.0), 'l1_ratio': 0.9}"
artificial.11,0.35,0.209,0.079,0.303,0.154,0.045,0.231,0.074,0.016,0.129,0.023,0.004,0.033,0.003,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.12,0.089,0.02,0.004,0.038,0.007,0.001,0.016,0.001,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.059,0.024,0.004,0.037,0.01,0.0,0.015,0.002,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.052,0.016,0.003,0.033,0.008,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.15,0.086,0.033,0.005,0.06,0.016,0.007,0.037,0.014,0.004,0.029,0.008,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.437,0.274,0.106,0.36,0.184,0.052,0.268,0.104,0.018,0.163,0.053,0.012,0.115,0.051,0.009,0.088,0.025,0.002,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.123,0.052,0.014,0.099,0.027,0.002,0.062,0.009,0.0,0.017,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.335,0.163,0.063,0.239,0.106,0.034,0.151,0.053,0.012,0.076,0.021,0.005,0.026,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.92,0.837,0.659,0.909,0.799,0.595,0.873,0.711,0.484,0.804,0.574,0.302,0.673,0.333,0.128,0.395,0.112,0.011,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.20,0.147,0.074,0.022,0.105,0.038,0.007,0.052,0.015,0.001,0.023,0.004,0.0,0.005,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.21,0.46,0.293,0.139,0.4,0.227,0.094,0.319,0.152,0.042,0.194,0.045,0.003,0.043,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.22,0.377,0.258,0.173,0.322,0.21,0.135,0.256,0.14,0.07,0.161,0.069,0.019,0.075,0.014,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.23,0.117,0.036,0.006,0.063,0.013,0.002,0.028,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.797,0.665,0.478,0.737,0.573,0.358,0.643,0.392,0.175,0.426,0.15,0.031,0.132,0.008,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.25,0.176,0.067,0.014,0.111,0.029,0.006,0.052,0.009,0.004,0.018,0.003,0.001,0.007,0.003,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.26,0.211,0.119,0.058,0.196,0.111,0.057,0.197,0.118,0.061,0.199,0.096,0.033,0.155,0.038,0.002,0.045,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.122,0.048,0.005,0.075,0.018,0.004,0.034,0.003,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.28,0.115,0.041,0.006,0.077,0.022,0.003,0.037,0.006,0.0,0.012,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.29,0.387,0.216,0.077,0.274,0.111,0.027,0.139,0.025,0.002,0.029,0.003,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.30,0.074,0.015,0.004,0.048,0.006,0.0,0.018,0.002,0.0,0.012,0.002,0.0,0.012,0.002,0.0,0.013,0.004,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.31,0.556,0.413,0.245,0.52,0.371,0.203,0.466,0.278,0.128,0.322,0.102,0.032,0.094,0.009,0.001,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.32,0.221,0.115,0.058,0.18,0.102,0.048,0.164,0.089,0.039,0.134,0.055,0.012,0.078,0.013,0.003,0.013,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.33,0.557,0.367,0.152,0.577,0.373,0.132,0.588,0.368,0.124,0.588,0.354,0.125,0.578,0.328,0.108,0.5,0.2,0.036,0.247,0.02,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.34,0.158,0.065,0.018,0.102,0.03,0.006,0.051,0.008,0.0,0.017,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.35,0.189,0.08,0.023,0.158,0.052,0.014,0.11,0.033,0.005,0.063,0.009,0.002,0.031,0.006,0.001,0.009,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.36,0.161,0.065,0.022,0.121,0.04,0.008,0.072,0.014,0.003,0.025,0.003,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.37,0.171,0.086,0.032,0.133,0.052,0.021,0.076,0.024,0.008,0.031,0.008,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.38,0.357,0.216,0.114,0.268,0.127,0.057,0.149,0.049,0.011,0.046,0.006,0.002,0.005,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.39,0.926,0.82,0.602,0.926,0.806,0.573,0.916,0.771,0.502,0.883,0.693,0.383,0.814,0.547,0.222,0.677,0.278,0.042,0.301,0.013,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.40,0.045,0.015,0.002,0.024,0.006,0.001,0.011,0.004,0.0,0.004,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.41,0.099,0.033,0.006,0.059,0.011,0.002,0.026,0.005,0.001,0.008,0.001,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.42,0.355,0.199,0.074,0.362,0.194,0.067,0.374,0.203,0.066,0.393,0.206,0.062,0.388,0.167,0.039,0.292,0.078,0.005,0.1,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.43,0.302,0.169,0.081,0.206,0.095,0.034,0.109,0.034,0.011,0.039,0.004,0.0,0.007,0.003,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.44,0.236,0.129,0.053,0.179,0.085,0.03,0.11,0.04,0.012,0.048,0.01,0.002,0.018,0.002,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.45,0.093,0.04,0.01,0.057,0.019,0.0,0.03,0.003,0.0,0.006,0.001,0.0,0.004,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.46,0.082,0.02,0.006,0.051,0.014,0.001,0.023,0.003,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.47,0.034,0.007,0.001,0.015,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.48,0.101,0.039,0.014,0.051,0.015,0.003,0.019,0.003,0.0,0.008,0.002,0.0,0.007,0.003,0.0,0.008,0.002,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.49,0.155,0.075,0.029,0.111,0.045,0.009,0.066,0.012,0.004,0.024,0.004,0.0,0.003,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.50,0.055,0.019,0.003,0.033,0.007,0.001,0.012,0.001,0.0,0.005,0.001,0.0,0.002,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.51,0.659,0.47,0.243,0.614,0.426,0.218,0.549,0.331,0.172,0.414,0.204,0.06,0.216,0.045,0.004,0.038,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.52,0.042,0.016,0.001,0.022,0.005,0.0,0.008,0.001,0.0,0.002,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.53,0.291,0.157,0.066,0.226,0.095,0.032,0.135,0.037,0.009,0.04,0.005,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.54,0.104,0.037,0.016,0.077,0.024,0.008,0.044,0.015,0.005,0.021,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.55,0.56,0.371,0.171,0.535,0.343,0.126,0.499,0.289,0.092,0.444,0.218,0.046,0.361,0.118,0.009,0.184,0.012,0.001,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.56,0.255,0.133,0.063,0.199,0.107,0.047,0.145,0.075,0.022,0.093,0.03,0.005,0.039,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.57,0.267,0.106,0.029,0.203,0.07,0.012,0.118,0.024,0.002,0.035,0.002,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.58,0.175,0.064,0.018,0.107,0.032,0.003,0.059,0.009,0.0,0.023,0.002,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.59,0.375,0.217,0.116,0.307,0.167,0.08,0.214,0.099,0.032,0.116,0.023,0.001,0.016,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.60,0.109,0.042,0.012,0.068,0.019,0.004,0.034,0.004,0.001,0.009,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.61,0.06,0.014,0.002,0.03,0.005,0.001,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.62,0.716,0.567,0.375,0.69,0.53,0.338,0.624,0.446,0.244,0.515,0.245,0.098,0.25,0.05,0.001,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.63,0.529,0.36,0.198,0.498,0.308,0.14,0.427,0.208,0.077,0.263,0.08,0.018,0.09,0.007,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.64,0.692,0.571,0.435,0.661,0.529,0.358,0.589,0.412,0.205,0.454,0.193,0.048,0.194,0.024,0.001,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.65,0.059,0.018,0.004,0.052,0.016,0.004,0.059,0.022,0.004,0.076,0.023,0.004,0.087,0.019,0.002,0.067,0.012,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.66,0.572,0.407,0.209,0.528,0.335,0.152,0.433,0.223,0.05,0.263,0.059,0.007,0.071,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.67,0.591,0.419,0.242,0.5,0.308,0.143,0.371,0.176,0.067,0.205,0.068,0.015,0.072,0.009,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.68,0.195,0.103,0.046,0.148,0.076,0.03,0.113,0.045,0.017,0.072,0.021,0.003,0.036,0.008,0.002,0.012,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.69,0.112,0.041,0.008,0.061,0.022,0.001,0.028,0.004,0.0,0.009,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.70,0.113,0.051,0.02,0.069,0.025,0.009,0.03,0.011,0.001,0.012,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.71,0.269,0.151,0.069,0.17,0.076,0.026,0.087,0.027,0.006,0.036,0.004,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.72,0.296,0.141,0.052,0.267,0.118,0.038,0.211,0.077,0.013,0.128,0.021,0.001,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.73,0.064,0.03,0.004,0.05,0.019,0.0,0.041,0.013,0.0,0.042,0.011,0.001,0.036,0.01,0.0,0.018,0.003,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.74,0.092,0.034,0.005,0.063,0.019,0.001,0.044,0.006,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.75,0.142,0.071,0.032,0.137,0.082,0.029,0.157,0.077,0.02,0.15,0.072,0.021,0.137,0.058,0.016,0.104,0.019,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.76,0.054,0.018,0.004,0.032,0.009,0.001,0.014,0.002,0.0,0.007,0.002,0.0,0.003,0.001,0.0,0.002,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.77,0.061,0.01,0.002,0.027,0.002,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.78,0.453,0.333,0.215,0.377,0.262,0.139,0.287,0.146,0.062,0.155,0.058,0.021,0.061,0.022,0.004,0.023,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.79,0.124,0.046,0.011,0.086,0.03,0.007,0.06,0.019,0.003,0.036,0.007,0.002,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.80,0.19,0.093,0.03,0.143,0.051,0.017,0.08,0.021,0.006,0.04,0.01,0.005,0.021,0.005,0.002,0.006,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.81,0.035,0.005,0.001,0.016,0.002,0.0,0.005,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.82,0.454,0.293,0.136,0.398,0.236,0.09,0.315,0.121,0.033,0.154,0.031,0.001,0.036,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.83,0.133,0.075,0.04,0.104,0.055,0.016,0.067,0.021,0.005,0.025,0.005,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.84,0.372,0.221,0.113,0.289,0.166,0.062,0.206,0.068,0.016,0.08,0.011,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.85,0.388,0.221,0.113,0.27,0.124,0.054,0.142,0.041,0.011,0.047,0.004,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.86,0.356,0.211,0.102,0.244,0.117,0.04,0.133,0.039,0.014,0.051,0.012,0.002,0.015,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.87,0.036,0.011,0.003,0.021,0.004,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.88,0.083,0.035,0.008,0.059,0.016,0.004,0.029,0.005,0.0,0.011,0.001,0.0,0.006,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.89,0.138,0.069,0.029,0.108,0.05,0.021,0.078,0.03,0.014,0.041,0.013,0.003,0.012,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.90,0.199,0.09,0.032,0.118,0.04,0.006,0.041,0.005,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.91,0.087,0.025,0.005,0.044,0.009,0.001,0.012,0.002,0.001,0.003,0.001,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.92,0.204,0.079,0.024,0.128,0.038,0.01,0.067,0.013,0.004,0.018,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.93,0.478,0.296,0.136,0.433,0.232,0.103,0.368,0.171,0.082,0.264,0.122,0.057,0.172,0.069,0.018,0.078,0.009,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.94,0.097,0.042,0.017,0.079,0.038,0.015,0.071,0.034,0.011,0.054,0.016,0.003,0.024,0.003,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.95,0.46,0.307,0.198,0.427,0.289,0.175,0.394,0.254,0.146,0.34,0.206,0.099,0.247,0.106,0.029,0.114,0.02,0.003,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
